Comparison,Mean_Difference,CI_Lower,CI_Upper,Raw_p_value,FDR_corrected_p,Significant_FDR
Good_SNR_IR2 vs Bad_SNR_WP1,0.0117257503895823,-0.0394827606776059,0.0629342614567704,0.604991884734226,0.668110212427655,0
Good_SNR_IR2 vs Bad_SNR_WP2,0.0104122693605146,-0.0410572430235684,0.0618817817445977,0.646971123649889,0.69724252852809,0
Good_SNR_IR2 vs Bad_SNR_Shock,0.0381343654710168,-0.00442546505022315,0.0806941959922567,0.0718544932413849,0.106612015553497,0
Good_SNR_IR2 vs Bad_SNR_Sound,0.0381343654710168,-0.00442546505022315,0.0806941959922567,0.0718544932413849,0.106612015553497,0
Good_SNR_WP1 vs Good_SNR_WP2,0.0234336940430218,-0.000912346803951303,0.047779734889995,0.0575825818664963,0.0910201366277088,0
Good_SNR_WP1 vs Good_SNR_Shock,0.0397921737690738,0.017409265457873,0.0621750820802746,0.00268136776997625,0.00770591278038219,1
Good_SNR_WP1 vs Good_SNR_Sound,0.0397921737690738,0.017409265457873,0.0621750820802746,0.00268136776997625,0.00770591278038219,1
Good_SNR_WP1 vs Bad_SNR_Dominant Freq,-0.0440656956606593,-0.0832298601732309,-0.00490153114808779,0.0324405223427282,0.0578129979180464,0
Good_SNR_WP1 vs Bad_SNR_X Position,-0.110461036293973,-0.14770842013077,-0.0732136524571756,0.000209211863589876,0.00095340834978815,1
Good_SNR_WP1 vs Bad_SNR_Y Position,-0.110907067138199,-0.155722785491662,-0.0660913487847367,0.000629436874978112,0.00242162007313918,1
Good_SNR_WP1 vs Bad_SNR_Z Position,-0.0787414814835951,-0.121609122466769,-0.0358738405004213,0.00338173484796165,0.0093806384043458,1
Good_SNR_WP1 vs Bad_SNR_Speed,-0.0595762684915302,-0.0956354159826117,-0.0235171210004487,0.00584754220570537,0.0146879209733859,1
Good_SNR_WP1 vs Bad_SNR_tSNE-X,-0.0577261302293483,-0.100508622290815,-0.0149436381678812,0.0152645136127447,0.0314153538223584,1
Good_SNR_WP1 vs Bad_SNR_tSNE-Y,-0.0387292821495805,-0.0750337436456415,-0.00242482065351943,0.0396618155838356,0.0683898333580732,0
Good_SNR_WP1 vs Bad_SNR_IR1,-0.0334636154076201,-0.0989422477396121,0.0320150169243719,0.266101316967288,0.338192510408625,0
Good_SNR_WP1 vs Bad_SNR_IR2,0.0114829473970644,-0.0308359887756668,0.0538018835697957,0.541548908115676,0.612603197478371,0
Good_SNR_WP1 vs Bad_SNR_WP1,0.0133835586876393,-0.0315617750555224,0.058328892430801,0.504098794281562,0.578444299913015,0
Good_SNR_WP1 vs Bad_SNR_WP2,0.0120700776585717,-0.0331724037568098,0.0573125590739531,0.548174512479164,0.617906959296301,0
Good_SNR_WP1 vs Bad_SNR_Shock,0.0397921737690738,0.00501990617602597,0.0745644413621217,0.030374495387094,0.055053772889108,0
Good_SNR_WP1 vs Bad_SNR_Sound,0.0397921737690738,0.00501990617602597,0.0745644413621217,0.030374495387094,0.055053772889108,0
Good_SNR_WP2 vs Good_SNR_Shock,0.016358479726052,0.00678063443314494,0.0259363250189591,0.00345427553546452,0.00941806748558276,1
Good_SNR_WP2 vs Good_SNR_Sound,0.016358479726052,0.00678063443314494,0.0259363250189591,0.00345427553546452,0.00941806748558276,1
Good_SNR_WP2 vs Bad_SNR_Dominant Freq,-0.0674993897036812,-0.0908685276296463,-0.044130251777716,0.000246413055685739,0.00110712344737677,1
